id,title,time,by,score,dead,deleted,descendants,kids,parent,parts,poll,text,type,url,_ctx
35306923,Video Game Writer Chris Avellone’s Accusers Retract Allegations of Misconduct,2023-03-25T20:25:29Z,Paul_S,3,false,false,,,,,,,story,https://www.forbes.com/sites/erikkain/2023/03/25/video-game-writer-chris-avellones-accusers-issue-public-statement-retracting-accusations-of-sexual-assault/,"{""connection_name"":""hackernews""}"
35307444,"OS/380: a family of free 31-bit mainframe OSes incl. MVS/380, VM/380 and VSE/38",2023-03-25T21:14:33Z,lproven,1,false,false,1,[35307458],,,,,story,https://mvs380.sourceforge.net/,"{""connection_name"":""hackernews""}"
35307439,Ask HN: Completely breakdown and obliterate the argument of “it is what is”?,2023-03-25T21:13:48Z,anon115,1,false,false,,[35307469],,,,,story,,"{""connection_name"":""hackernews""}"
35306890,Microsoft reportedly orders chatbot rivals to stop using Bing’s search data,2023-03-25T20:21:36Z,mfiguiere,8,false,false,3,"[35307336,35307156,35307116]",,,,,story,https://www.theverge.com/2023/3/25/23656336/microsoft-chatbot-rivals-stop-using-bing-search-index,"{""connection_name"":""hackernews""}"
35307056,Artificial Intelligence Can Persuade Humans on Political Issues,2023-03-25T20:37:25Z,giuliomagnifico,4,false,false,1,[35307135],,,,,story,https://osf.io/stakv/,"{""connection_name"":""hackernews""}"
35306865,PureScript Survey 2023,2023-03-25T20:18:46Z,aranchelk,4,false,false,,,,,,,story,https://www.surveymonkey.com/r/3X287PM,"{""connection_name"":""hackernews""}"
35307157,10 Sci-Fi Books Like Dune That Need a Movie Adaptation,2023-03-25T20:46:55Z,rustoo,1,false,false,1,[35307261],,,,,story,https://movieweb.com/sci-fi-books-like-dune-to-adapt-movies/,"{""connection_name"":""hackernews""}"
35307178,Rising seas will cut off many properties before they’re flooded,2023-03-25T20:48:23Z,AiaAidan,6,false,false,,,,,,,story,https://arstechnica.com/science/2023/03/rising-seas-will-cut-off-many-properties-before-theyre-flooded/,"{""connection_name"":""hackernews""}"
35306909,Lex Fridman Podcast #367 – Sam Altman,2023-03-25T20:23:35Z,AJRF,5,false,false,,,,,,,story,https://lexfridman.com/sam-altman/,"{""connection_name"":""hackernews""}"
35307150,Managers exploit loyal workers over less committed colleagues,2023-03-25T20:46:04Z,geox,20,false,false,7,"[35307460,35307291,35307404]",,,,,story,https://today.duke.edu/2023/03/managers-exploit-loyal-workers-over-less-committed-colleagues,"{""connection_name"":""hackernews""}"
35307175,"I am the ZeitGeist, AMA about the Mind or Future of humanity",2023-03-25T20:48:06Z,walkerInWalls,2,false,false,3,"[35307238,35307270]",,,,"P.S : I&#x27;m high, but I promise ya the most convincing straightforward answer to your question",story,,"{""connection_name"":""hackernews""}"
35307377,Marc Andreessen on His Intellectual Journey the Past Ten Years,2023-03-25T21:09:10Z,jger15,2,false,false,,,,,,,story,https://www.youtube.com/watch?v=-VBj1gzxFkg,"{""connection_name"":""hackernews""}"
35307063,Estimating the expected value of European options prices via Quantum Monte Carlo,2023-03-25T20:37:54Z,the88doctor,2,false,false,,,,,,,story,https://www.techscience.com/jqc/v4n1/49287,"{""connection_name"":""hackernews""}"
35307152,U.S. and China wage war beneath the waves – over internet cables,2023-03-25T20:46:29Z,SkyMarshal,4,false,false,1,[35307317],,,,,story,https://www.reuters.com/investigates/special-report/us-china-tech-cables/,"{""connection_name"":""hackernews""}"
35307090,Experimental project to automatically complete GitHub Issues with code from GPT4,2023-03-25T20:40:47Z,dex3r,3,false,false,1,[35307129],,,,,story,https://github.com/dex3r/GPT-Codemaster,"{""connection_name"":""hackernews""}"
35307418,The rise and fall of the National Tenant's Union (2022),2023-03-25T21:12:45Z,anigbrowl,1,false,false,,,,,,,story,https://shelterforce.org/2022/11/22/the-rise-and-fall-of-the-national-tenants-union/,"{""connection_name"":""hackernews""}"
35307199,"Move Over, AD936x: An Innovative Software Defined Radio Architecture",2023-03-25T20:51:12Z,cedivad,2,false,false,,,,,,,story,https://rfnm.io,"{""connection_name"":""hackernews""}"
35307302,Manifold: Geometry library for topological robustness,2023-03-25T21:00:29Z,le-mark,2,false,false,1,[35307303],,,,,story,https://github.com/elalish/manifold,"{""connection_name"":""hackernews""}"
