id,title,time,by,score,dead,deleted,descendants,kids,parent,parts,poll,text,type,url,_ctx
32387990,Digital security: Leveraging human verification to educate about online safety,2022-08-08T16:55:18Z,rntn,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://techxplore.com/news/2022-08-digital-dialogue-leveraging-human-verification.html,"{""connection_name"":""hackernews""}"
32388353,The Fishy Science of Omega-3s (2019),2022-08-08T17:20:12Z,yamrzou,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://gastropod.com/omega-1-2-3/,"{""connection_name"":""hackernews""}"
32388307,How Bias in the Property Tax Assessment System Plays Out[video],2022-08-08T17:16:21Z,melenaboija,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.youtube.com/watch?v=ljZVqLdamnA,"{""connection_name"":""hackernews""}"
32388310,Ask HN: What do you want to see in a data scientist job description?,2022-08-08T17:16:41Z,p33p,2,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,<null>,"{""connection_name"":""hackernews""}"
32388148,"US Treasury sanctions Tornado Cash, accused of laundering stolen crypto",2022-08-08T17:05:47Z,mikece,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://techcrunch.com/2022/08/08/treasury-tornado-cash-laundering-stolen-crypto/,"{""connection_name"":""hackernews""}"
32388025,"Privacy, federated learning and Web3’s data problem",2022-08-08T16:57:55Z,achan7,2,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://orangutans.substack.com/p/brave-ceramic-and-web3s-data-problem,"{""connection_name"":""hackernews""}"
32388065,Apple's App Tracking Transparency policy blew up the digital ads ecosystem,2022-08-08T17:00:49Z,Terretta,4,false,false,1,[32388349],<null>,<null>,<null>,<null>,story,https://twitter.com/eric_seufert/status/1555177364081999874,"{""connection_name"":""hackernews""}"
32387999,Maybe Amazon do want to know where you placed your sofa,2022-08-08T16:55:54Z,rpgbr,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://notes.ghed.in/posts/amazon-irobot-maps-users-houses/,"{""connection_name"":""hackernews""}"
32388170,Boyd’s Law of Iteration,2022-08-08T17:07:11Z,1sembiyan,3,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://blog.codinghorror.com/boyds-law-of-iteration/,"{""connection_name"":""hackernews""}"
32387873,Security Guide for Startups: How to think about security while moving quickly,2022-08-08T16:46:59Z,breadchris,4,false,false,1,[32387874],<null>,<null>,<null>,<null>,story,https://www.lunasec.io/docs/blog/security-guide-for-startups/,"{""connection_name"":""hackernews""}"
32388150,2022 TSMC Update,2022-08-08T17:05:52Z,picture,2,false,false,1,[32388223],<null>,<null>,<null>,<null>,story,https://asianometry.substack.com/p/visiting-tsmc-in-tainan,"{""connection_name"":""hackernews""}"
32387714,Conway's Game of Life – Mathematics and Construction,2022-08-08T16:34:43Z,Schiphol,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://conwaylife.com/book/,"{""connection_name"":""hackernews""}"
32387818,Show HN: Vite-Powered React Framework,2022-08-08T16:42:36Z,cyco130,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://github.com/rakkasjs/rakkasjs,"{""connection_name"":""hackernews""}"
32387678,A Biochemist’s View of Life’s Origin Reframes Cancer and Aging,2022-08-08T16:31:59Z,theafh,2,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.quantamagazine.org/a-biochemists-view-of-lifes-origin-reframes-cancer-and-aging-20220808/,"{""connection_name"":""hackernews""}"
32388279,How the US Postal Service reads terrible handwriting,2022-08-08T17:14:23Z,leohonexus,4,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.youtube.com/watch?v=XxCha4Kez9c,"{""connection_name"":""hackernews""}"
32387636,Male Microchimerism in the Human Female Brain (2012),2022-08-08T16:28:58Z,ImpressiveWebs,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0045592#authcontrib,"{""connection_name"":""hackernews""}"
32387630,EV prototype with 700 mile range,2022-08-08T16:28:29Z,noplsbecivil,2,false,false,1,[32387643],<null>,<null>,<null>,<null>,story,https://spectrum.ieee.org/new-ev-prototype-leaves-range-anxiety-in-the-dust,"{""connection_name"":""hackernews""}"
32387612,Skiff Drive: Secure file storage,2022-08-08T16:27:27Z,lysergia,3,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.skiff.com/drive,"{""connection_name"":""hackernews""}"
32388350,Locked-In Syndrome and the Misplaced Presumption of Misery,2022-08-08T17:19:42Z,mrcsd,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://undark.org/2022/08/08/locked-in-syndrome-and-the-misplaced-presumption-of-misery/,"{""connection_name"":""hackernews""}"
32388141,Show HN: Debuglater – Serialize Python traceback for later debugging,2022-08-08T17:05:21Z,edublancas,1,false,false,1,[32388147],<null>,<null>,<null>,<null>,story,https://github.com/ploomber/debuglater,"{""connection_name"":""hackernews""}"
