id,title,time,by,score,dead,deleted,descendants,kids,parent,parts,poll,text,type,url,_ctx
32819216,Ask HN: Do you log your customer activity data?,2022-09-13T00:25:35Z,white,1,false,false,<null>,<null>,<null>,<null>,<null>,"Do you log your customer activity to any of the log management platforms, like Splunk, Datadog, Papertrail, Sentry, etc?<p>We do, and most of that data is focused on errors (eg., already registered, bad credit card, etc), although we do about 30% of events like &quot;quote requested&quot;, clicked &quot;sign up&quot;, etc).<p>We ended up creating a &quot;sidecar&quot;, that processes the event, checks again our CRM in place (Hubspot, Zoho) and either proactively initiates a conversation via email, or sends transaction confirmation&#x2F;error. (We store templates for different events, and adjusted to different channel - depending which one we know for the customer - like Push, SMS, email).<p>Would you use something like that?<p>If not, why not?",story,<null>,"{""connection_name"":""hackernews""}"
32819106,Senator Tillis: Here’s the Answer to Section 101 (Patent Eligibility),2022-09-13T00:11:46Z,kjhughes,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.ipwatchdog.com/2022/09/09/senator-tillis-heres-answer-section-101/id=151307/,"{""connection_name"":""hackernews""}"
32819178,What You Want Is What You Get,2022-09-13T00:21:01Z,MaysonL,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://blog.bracha.org/WYWIWYG/out/WYWIWYG.html?snapshot=WYWIWYGApp.vfuel,"{""connection_name"":""hackernews""}"
32819036,Lace-making as a metaphor for AI art [video],2022-09-13T00:03:14Z,cercatrova,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.youtube.com/watch?v=CfVHXDty5Pk,"{""connection_name"":""hackernews""}"
32819096,Planning Go 1.20 Cryptography Work,2022-09-13T00:10:06Z,alphabettsy,3,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://words.filippo.io/dispatches/go1-20/,"{""connection_name"":""hackernews""}"
32819145,The Great California Electricity Blackout That Wasn’t,2022-09-13T00:17:04Z,gavinsyancey,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.nrdc.org/experts/ralph-cavanagh/great-california-electricity-blackout-wasnt,"{""connection_name"":""hackernews""}"
32818835,Apple AI will be the next big thing,2022-09-12T23:40:33Z,behnamoh,2,false,false,1,[32819035],<null>,<null>,<null>,<null>,story,https://twitter.com/EMostaque/status/1569066706273812481,"{""connection_name"":""hackernews""}"
32819135,Smart software untangles gene regulation in cells,2022-09-13T00:16:12Z,bookofjoe,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.nature.com/articles/d41586-022-02826-1,"{""connection_name"":""hackernews""}"
32819045,Extreme California heat knocks key Twitter data center offline,2022-09-13T00:04:36Z,arkadiyt,2,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.cnn.com/2022/09/12/tech/twitter-data-center-california-heat-wave/index.html,"{""connection_name"":""hackernews""}"
32819021,NASA Dates – Artemis I Cryogenic Demo Test and Launch; Progress at Pad Continues,2022-09-13T00:01:32Z,Trouble_007,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://blogs.nasa.gov/artemis/2022/09/12/nasa-adjusts-dates-for-artemis-i-cryogenic-demonstration-test-and-launch-progress-at-pad-continues/,"{""connection_name"":""hackernews""}"
32818761,Albert Fox Cahn: The shift we need to stop mass surveillance,2022-09-12T23:32:52Z,jacooper,3,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.ted.com/talks/albert_fox_cahn_the_shift_we_need_to_stop_mass_surveillance,"{""connection_name"":""hackernews""}"
32818794,Management Is Not Just for Managers: The Path to Becoming a Senior Engineer,2022-09-12T23:36:19Z,dglass,4,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://newsletter.beginner.dev/p/management-is-not-just-for-managers,"{""connection_name"":""hackernews""}"
