id,title,time,by,score,dead,deleted,descendants,kids,parent,parts,poll,text,type,url,_ctx
34423648,Six minutes of high-intensity exercise could delay Alzheimer's disease,2023-01-18T05:13:26Z,simonebrunozzi,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.sciencedaily.com/releases/2023/01/230112090919.htm,"{""connection_name"":""hackernews""}"
34423484,Reflections after the avalanche (human factors in risk taking – 2014),2023-01-18T04:36:02Z,609venezia,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.powder.com/stories/reflections-avalanche/,"{""connection_name"":""hackernews""}"
34423640,Media's Identity Crisis,2023-01-18T05:11:22Z,herbertl,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.therebooting.com/p/medias-identity-crisis,"{""connection_name"":""hackernews""}"
34423660,JavaScript AST manipulation with Babel: transform prototyping and plugin dev,2023-01-18T05:16:39Z,rl1987,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.trickster.dev/post/javascript-ast-manipulation-with-babel-transform-prototyping-and-plugin-development/,"{""connection_name"":""hackernews""}"
34423510,Display Rain in Google Calendar,2023-01-18T04:42:53Z,eiiot,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://eliothertenstein.com/posts/rain-in-google-calendar,"{""connection_name"":""hackernews""}"
34423513,Ask HN: Is there a decora switch with pilot light that does NOT need a neutral?,2023-01-18T04:43:16Z,tamaharbor,1,false,false,<null>,<null>,<null>,<null>,<null>,I cannot find one anywhere.  But I KNOW for sure my mom&#x27;s 90 year old house with knob and tube wiring (definately no neutral) has a standard (non-decora) one. Please help.,story,<null>,"{""connection_name"":""hackernews""}"
34423387,Cursor: An AI-Enabled IDE,2023-01-18T04:19:39Z,mntruell,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://twitter.com/amanrsanger/status/1615539968772050946,"{""connection_name"":""hackernews""}"
34423505,Livebook Elixir Implementation of “How to Write a Lisp Interpreter in Python”,2023-01-18T04:41:19Z,smn,2,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://github.com/smn/livebooks/blob/main/lexp.livemd,"{""connection_name"":""hackernews""}"
34423486,Exposing the Cult of Artificial Intelligence,2023-01-18T04:36:25Z,hobbitstan,1,false,false,1,[34423575],<null>,<null>,<null>,<null>,story,https://back2godhead.com/exposing-cult-artificial-intelligence/,"{""connection_name"":""hackernews""}"
34423386,Ask HN: Best resources to learn Python or JavaScript for children?,2023-01-18T04:19:37Z,stevofolife,2,false,false,<null>,<null>,<null>,<null>,<null>,What are the best resources to learn computer science concepts or programming languages like Python and JavaScript?<p>I’m hoping to find suitable resources to share with my nephews and nieces who range from 5-10 yr old.,story,<null>,"{""connection_name"":""hackernews""}"
