id,title,time,by,score,dead,deleted,descendants,kids,parent,parts,poll,text,type,url,_ctx
35367596,"Windows 12 Plans Reveal a Bold Redesign, Tighter Security, AI-Powered Features",2023-03-30T03:36:19Z,nateb2022,6,false,false,1,[35367916],,,,,story,https://hothardware.com/news/windows-12-plans-reveal-bold-redesign-tighter-security-ai-features,"{""connection_name"":""hackernews""}"
35367879,New BigQuery Pricing Editions,2023-03-30T04:13:57Z,ZeroCool2u,1,false,false,1,[35367907],,,,,story,https://cloud.google.com/blog/products/data-analytics/introducing-new-bigquery-pricing-editions,"{""connection_name"":""hackernews""}"
35367585,US Air Force plans self-flying F-16s to test drone wingmen tech,2023-03-30T03:34:31Z,coderintherye,1,false,false,,,,,,,story,https://www.defensenews.com/air/2023/03/28/us-air-force-plans-self-flying-f-16s-to-test-drone-wingmen-tech/,"{""connection_name"":""hackernews""}"
35367691,Ask HN: Is the only way to regulate AI through chip fabs?,2023-03-30T03:50:56Z,jlei523,3,false,false,4,"[35367820,35367766]",,,,"This means regulating the most advanced chip fabs, TSMC, Samsung, and Intel on manufacturing ever more powerful AI training chips.<p>I can&#x27;t think of another way to prevent a rogue lab from training ever more powerful AI.<p>Only AI labs that pass stringent audits and regulations can be allowed to buy more powerful AI chips.<p>If we determine that AI is an existential threat to humanity, like nuclear weapons are, shouldn&#x27;t we regulate AI training chips like we regulate nuclear weapon making material?<p>Countries have treaties signed on nuclear weapons. Why not sign treaties on AI chip making&#x2F;buying?",story,,"{""connection_name"":""hackernews""}"
35367758,What happened to Nvidia's Ediff-I?,2023-03-30T03:59:29Z,sp332,1,false,false,,,,,,Looks like nvidia&#x27;s Labs website was rearranged lately and broke all the links to the paper and the download for Ediff-i. But their own search bar doesn&#x27;t show any results for it. Did it get erased?,story,,"{""connection_name"":""hackernews""}"
35367600,"Elemental Music: Interactive Periodic Table Turns He, Fe, Ca into Do, Re, Mi",2023-03-30T03:36:43Z,nobody9999,3,false,false,,,,,,,story,https://arstechnica.com/science/2023/03/elemental-music-interactive-periodic-table-turns-he-fe-ca-into-do-re-mi/,"{""connection_name"":""hackernews""}"
35367672,Falcor: Real-Time Rendering Framework,2023-03-30T03:47:55Z,lnyan,1,false,false,,,,,,,story,https://github.com/NVIDIAGameWorks/Falcor,"{""connection_name"":""hackernews""}"
35367599,Computer Design and Innovation,2023-03-30T03:36:35Z,thunderbong,1,false,false,,,,,,,story,http://slipperyskip.com/page23.html,"{""connection_name"":""hackernews""}"
35367866,Ask HN: Developers that also do support?,2023-03-30T04:12:36Z,make_it_sure,1,false,false,,,,,,"We are a startup with just a few people and the hardest position of all is tech support, from filling it to retention. The requirement is that you need to be a mid-developer at least but also do support all day.<p>We&#x27;re having a super hard time finding someone that wants to do this even when paying over the mid-dev rate.<p>Developers hate support or any kind of prolonged client interaction, support guys don&#x27;t have technical experience. Besides that, it takes 2 months minimum of training for a tech support position to get remotely productive, it actually starts at 3-4 month mark.<p>After all the time the team spends on training them and they start to actually deliver something, we&#x27;re seeing them fleeing away to a full dev job on some other place.<p>We just spent months on interview and training and they leave exactly when they start to become helpful. Since we&#x27;re a very small company of 7, this affects us a lot.<p>I&#x27;m very frustrated about this. Do you guys have any idea on how to handle this?",story,,"{""connection_name"":""hackernews""}"
35367789,ChatGPT and Large Language Models: What are the implications for policy makers?,2023-03-30T04:03:23Z,pgeertsema,1,false,false,1,[35367790],,,,,story,https://www.airesearchers.nz/site_files/28243/upload_files/aira-discussionpaper-chatgpt+largelanguagemodels-march2023-DIGITAL.pdf?dl=1,"{""connection_name"":""hackernews""}"
