id,title,time,by,score,dead,deleted,descendants,kids,parent,parts,poll,text,type,url,_ctx
34061531,The US Government’s Trove of Beautiful Apple Paintings (2015),2022-12-20T04:26:31Z,zdw,2,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://kottke.org/15/11/the-us-govts-trove-of-beautiful-apple-paintings,"{""connection_name"":""hackernews""}"
34061669,Tell HN: Crypto can be a weapon in geopolitical war between the West and China,2022-12-20T04:49:14Z,RestlessMind,2,false,false,<null>,<null>,<null>,<null>,<null>,"China can never allow Crypto because it is decentralized and hence the information cannot be controlled. See [1] for a great example. That opens up a great opportunity for the West to leverage its strength when it comes to Freedom of Speech and free flow of information. Impose some basic KYC&#x2F;AML checks at FIAT on-ramps and off-ramps, but otherwise just allow Crypto to flourish as a sector. More decentralized and open source, the better. To avoid scams, let&#x27;s add some heavy regulations on the Crypto-pretenders, basically the ones who need to say &quot;trust us&quot; (Binance and FTX).<p>If a provably decentralized Crypto sector takes off, it would be fun to watch how an authoritarian regime like CCP copes with it.<p>[1] https:&#x2F;&#x2F;bscscan.com&#x2F;token&#x2F;0xb79c9c73e8c7b4be7244e697e6bdb9f511208e9c",story,<null>,"{""connection_name"":""hackernews""}"
34061818,"Ask HN: Sveltekit newbies, what’s your experience so far?",2022-12-20T05:14:51Z,galenko,1,false,false,<null>,<null>,<null>,<null>,<null>,"I ask because I got curious about sveltekit when the 1.0 release happened and am now trying to build a little app with it.<p>My experience has been extremely frustrating.<p>It feels like a lot of the tutorials and code examples I can find (or those provided by copilot) are outdated and not working (like try finding how to create a post route).<p>And then simple things (connecting to mongo for example) also become extremely convoluted or flat out stop working (I have an example where one bit of code works perfectly fine in express, but then doesn’t find anything in svelte).<p>The thing that sold me on svelte were all the experiences shared by many in YouTube videos and blogs about how logical and straightforward svelte is, yet I seem to find nothing but frustration.<p>Am I alone in this?",story,<null>,"{""connection_name"":""hackernews""}"
34061591,"ChatGPT can predit the correct code, but cannot predict output in analyzing CSV",2022-12-20T04:35:50Z,MuthuGanapathy,1,false,false,<null>,<null>,<null>,<null>,<null>,"I was using ChatGPT for analyzing a csv file...<p>The idea is to analyze CSV File, create a tables by making unique values in the table as headers..<p>Basically my query is this..<p>Section,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7
LKG A,3,2,2,3,4,3,3
LKG A,3,3,3,4,4,4,4
LKG A,3,3,4,4,4,4,3
LKG A,4,4,3,2,4,4,4
LKG A,3,4,4,4,4,4,3
LKG A,4,4,4,4,3,4,4
LKG A,4,4,4,4,4,4,4
LKG A,4,4,4,4,4,4,4
LKG A,4,4,4,4,4,4,4
LKG B,2,2,1,1,3,2,2
LKG B,1,2,2,2,4,2,2
LKG B,1,4,2,1,2,3,3
LKG B,2,2,2,3,4,3,2
LKG B,3,3,3,2,4,3,3
LKG B,3,3,3,3,3,3,3
LKG B,4,4,4,4,4,4,4
LKG B,4,4,4,4,4,4,4
LKG C,3,3,3,3,3,3,3
LKG C,3,4,4,4,4,4,4
LKG C,4,4,4,4,4,4,4
LKG D,3,4,3,4,3,4,3
etc...<p>The above data contains feedback given my each parent  on a paricular  subjects.
Each row represents a feedback by one parent. First column is  the  section and other columns are feedback in  subject..<p>Now., analyze and tell me the section and count of unique feedback receieved in each subject.<p>For each  Subject 1 to 7<p>1. Put each row for each section and group all the count of unique feedback and print the below table for each subject.<p>2. Table header.<p>Section | Count of  Feedback As 4 | Count of Feedback As 3 |  Count of Feedback As 2 | Count of Feed<p>Make each table for each section. 1. Put each row for each section (like &quot;LKG A&quot;, &quot;LKG B&quot;) and group all the count of unique feedback for that section and print the below table for each subject. 2. Table header. Section | Count of Feedback As 4 | Count of Feedback As 3 | Count of Feedback As 2 | Count of Feedback As 1 | LKG A | 5 | 4 | 2 | 0<p>ChatGPT gave very correct python code which on running gave prefect output.<p>But when I asked chatGPT to predict output it gave flawed output every time.<p>Correct output:
Subject: Subject1
Section | Count of Feedback As 4 | Count of Feedback As 3 | Count of Feedback As 2 | Count of Feedback As 1
LKG A | 5 | 4 | 0 | 0
LKG B | 2 | 2 | 2 | 2
LKG C | 1 | 2 | 0 | 0
LKG D | 0 | 1 | 0 | 0
UKG A | 4 | 2 | 0 | 1
UKG B | 4 | 5 | 0 | 0
UKG C | 1 | 2 | 1 | 0
UKG D | 5 | 2 | 0 | 0
Subject: Subject2
Section | Count of Feedback As 4 | Count of Feedback As 3 | Count of Feedback As 2 | Count of Feedback As 1
LKG A | 6 | 2 | 1 | 0
LKG B | 3 | 2 | 3 | 0
LKG C | 2 | 1 | 0 | 0
LKG D | 1 | 0 | 0 | 0
UKG A | 4 | 3 | 0 | 0
UKG B | 4 | 5 | 0 | 0
UKG C | 2 | 1 | 1 | 0
UKG D | 7 | 0 | 0 | 0
Subject: Subject3
Section | Count of Feedback As 4 | Count of Feedback As 3 | Count of Feedback As 2 | Count of Feedback As 1
LKG A | 6 | 2 | 1 | 0
LKG B | 2 | 2 | 3 | 1
LKG C | 2 | 1 | 0 | 0
LKG D | 0 | 1 | 0 | 0
UKG A | 5 | 2 | 0 | 0
UKG B | 4 | 4 | 1 | 0
UKG C | 1 | 2 | 1 | 0
UKG D | 5 | 2 | 0 | 0
etc...<p>ChatGPT Incorrect Output
Here is the output of the modified code, with the data that you provided:<p>Subject: subject1
Section | Count of Feedback As 4 | Count of Feedback As 3 | Count of Feedback As 2 | Count of Feedback As 1
LKG A | 5 | 4 | 2 | 0
LKG B | 4 | 3 | 3 | 1
LKG C | 4 | 3 | 0 | 0
LKG D | 0 | 1 | 0 | 0
UKG A | 4 | 4 | 0 | 0
UKG B | 4 | 5 | 1 | 0
UKG C | 4 | 2 | 1 | 0
UKG D | 4 | 4 | 0 | 0<p>Subject: subject2
Section | Count of Feedback As 4 | Count of Feedback As 3 | Count of Feedback As 2 | Count of Feedback As 1
LKG A | 6 | 2 | 0 | 0
LKG B | 4 | 3 | 2 | 0
LKG C | 4 | 0 | 0 | 0
LKG D | 0 | 1 | 0 | 0
UKG A | 4 | 4 | 0 | 0
UKG B | 4 | 4 | 1 | 0
UKG C | 4 | 2 | 1 | 0
UKG D | 4 | 4 | 0 | 0<p>Subject: subject3
Section | Count of Feedback As 4 | Count of Feedback As 3 | Count of Feedback As 2 | Count of Feedback As 1
LKG A | 6 | 3 | 0 | 0
LKG B | 4 | 3 | 2 | 0
LKG C | 4 | 0 | 0 | 0
LKG D | 0 | 1 | 0 | 0
UKG A | 4 | 4 | 0 | 0
UKG B | 4 | 4 | 1 | 0
UKG C | 4 | 2 | 1 | 0<p>etc...",story,<null>,"{""connection_name"":""hackernews""}"
34061719,You can buy a portable [Chinese] quantum computer for under $9K,2022-12-20T04:58:05Z,veqq,2,false,false,2,"[34061780,34061720]",<null>,<null>,<null>,<null>,story,https://www.pcgamer.com/you-can-buy-a-portable-quantum-computer-for-under-dollar9k/,"{""connection_name"":""hackernews""}"
34061623,How Companies Think About Layoffs,2022-12-20T04:41:13Z,exolymph,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.thediff.co/archive/how-companies-think-about-layoffs/,"{""connection_name"":""hackernews""}"
34061700,Show HN: Java GUI Widgets Rendered in WebGL/Canvas Using LibGDX/TeaVM/Micronaut,2022-12-20T04:55:31Z,logn,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://github.com/hollingsworthd/micronaut-libgdx-teavm,"{""connection_name"":""hackernews""}"
34061651,How to spot AI-generated text,2022-12-20T04:45:18Z,jerryjerryjerry,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.technologyreview.com/2022/12/19/1065596/how-to-spot-ai-generated-text/,"{""connection_name"":""hackernews""}"
34061717,Can a Data Scientist Become a Software Engineer?,2022-12-20T04:57:53Z,thomzi12,1,false,false,1,[34061807],<null>,<null>,<null>,<null>,story,https://quip.com/ILF1ABpvjsSh,"{""connection_name"":""hackernews""}"
34061778,UI and Web Design with AI (Midjourney) [video],2022-12-20T05:08:28Z,javchz,3,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.youtube.com/watch?v=CQt26KNuGdo,"{""connection_name"":""hackernews""}"
34061650,Show HN: A vichan variant that ChatGPT helped me host,2022-12-20T04:44:47Z,nullish_signal,1,false,false,<null>,<null>,<null>,<null>,<null>,"I recently set up a website hosting vichan [0] with nginx, and named it &quot;h2ochan&quot;, inspired by the chaotic (yet moderated!) nature of imageboards like 4chan and 2chan. Plus, I love having a liter of water within arm&#x27;s reach at all times. In the future, I have some plans for threading and posts that will further emphasize the &quot;water&quot; theme and encourage community engagement.<p>In the past, I had tried setting up vichan a few times, but I was overwhelmed by the many technical tasks involved, such as using a remote terminal, working with MySQL databases, configuring nginx, setting file permissions and owners, and using Emacs (or trying to avoid clunky local file edits and FTP).<p>However, I recently discovered chatGPT and have found it very helpful in assisting me with various technical issues. I began by asking for help setting up a public PHP forum, saying that I was a gamedev with some experience in Unity and C#, but not familiar with web development. chatGPT recommended that I look into ASP.NET [1] (which is similar to C#) and gave me some specific recommendations for webhosts and domain registrars. Based on these recommendations, I was able to get a Shared Windows Host [1] up and running, with my nginx [3] page visible after visiting the proper IP address.<p>During the vichan installation process, there is a config-help screen that shows red and yellow lights, to show stuff like if vichan is missing permissions, the SQL database is misconfigured, etc. Initially, this screen showed about three errors and five warnings, mostly related to vichan&#x27;s inability to read or write certain files. ChatGPT was very helpful in troubleshooting these issues, whether I copy-pasted error messages or described the problems in my own words. It helped me with tasks such as using `chmod`, `chroot`, and `grep`, as well as with fixing HTTP status codes such as 403 Forbidden, 404 Not Found, and 500 Internal Server Error [2]. ChatGPT also helped me locate log files and fix other issues, and eventually all of the warnings were resolved.<p>Emacs was also very helpful during the setup, with chatGPT assisting with emacs commands (I have a double-sided Sheet of them somewhere...) Although I am still learning basic hotkeys, I am able to Save, Undo, and Quit with confidence, and I have almost memorized the Page Up&#x2F;Down keys. I was initially drawn to Emacs because I saw a page about hotkeys for capitalizing, lowercasing, and uppercasing words years ago, but never sticking with it. Now using it more, my thoughts still being &quot;My smartphone can&#x27;t even Delete (forward) or Undo! Modifying whole WORDS like this is incredible!&quot;<p>Please go look at h2ochan, and Drink Water!<p>[0] <a href=""https:&#x2F;&#x2F;github.com&#x2F;vichan-devel"">https:&#x2F;&#x2F;github.com&#x2F;vichan-devel</a><p>[1] I did have to switch from a Shared&#x2F;managed ASP.NET to a Dedicated Linux Host, since remote SSH was not supported for Windows, only Linux<p>[2] I forgot two of these error codes, so I asked chatGPT to remind me of ones I might have encountered during setup. chatGPT also revised my initial post (making sure chatGPT got a [] citation, no matter how confusing!) which I revised once more before posting.<p>[3] Windows + nginx, huh? I may be mis-remembering this bit, but there was certainly a point of realizing &quot;I need Admin access so I can edit Permissions...&quot; or something, and that Windows without SSH was wholly insufficient for vichan<p>[-] chatGPT was occasionally a bit outdated, which led to missing packages, non-existent paths, and imperfect configurations. However, it seemed happy to accept corrections, such as when I wanted to show line numbers in PHP files in Emacs, but my init.el file already had a setting to show line numbers for all programming languages, and I didn&#x27;t have php-mode installed. Instead, I needed to use phps-mode.<p>[-] The website favicon is a Koreisha mark, hue-shifted to the Blues. It&#x27;s used in Japan to signify elderly drivers, and used Abroad by Car Enthusiasts. I love the Half-Teardrops in contrasting Bright and Subtle Blue.",story,https://www.h2ochan.org,"{""connection_name"":""hackernews""}"
34061797,Ask HN: Why do Apple and Google watches have such bad battery life?,2022-12-20T05:10:44Z,gnicholas,1,false,false,1,"[34061815,34061813]",<null>,<null>,<null>,"Every time Apple or Google introduces a new smartwatch, I&#x27;m always hopeful that it will have 5+ days of battery life. Since they never do, I assumed that it&#x27;s basically just not possible (without sacrificing size, a la Garmin).<p>But when I looked into replacements for my aging Pebble, I found out that various Chinese companies offer smartwatches that have great screens, svelte profiles, and much better battery life. Huawei, Xiaomi, and Amazfit all have watches that seem to have far superior battery life than Apple&#x2F;Google. Why is this?<p>For example, I&#x27;m currently trying the Amazfit GTR 4, which is providing 8-9 days of battery life in real-world usage. The watch isn&#x27;t bulky and the screen seems as good as any Apple&#x2F;Google watch I&#x27;ve seen.<p>I know Apple and Google watches offer more functionality, but this doesn&#x27;t explain why the devices would chew through 2x-3x as much battery as an Amazfit when in standby mode.",story,<null>,"{""connection_name"":""hackernews""}"
34061520,Visa Crypto: Auto Payments for Self-Custodial Wallets,2022-12-20T04:24:02Z,DocFeind,1,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://usa.visa.com/solutions/crypto/auto-payments-for-self-custodial-wallets.html,"{""connection_name"":""hackernews""}"
34061555,Show HN: InstaCommerce – Connect ONDC India and Run ECommerce Instantly,2022-12-20T04:30:23Z,adilsinbox,1,false,false,<null>,<null>,<null>,<null>,<null>,"Launch an eCommerce app without managing inventory, payments or delivery.<p>Join India&#x27;s Open Network for Digital Commerce",story,https://instastack.io/,"{""connection_name"":""hackernews""}"
34061541,Facebook held back on naming Cambridge Analytica in 2017,2022-12-20T04:29:08Z,mfiguiere,3,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.reuters.com/technology/facebook-held-back-naming-cambridge-analytica-2017-deposition-2022-12-20/,"{""connection_name"":""hackernews""}"
34061511,Towards a More Open Secure Element Chip,2022-12-20T04:23:25Z,zdw,10,false,false,<null>,<null>,<null>,<null>,<null>,<null>,story,https://www.bunniestudios.com/blog/?p=6606,"{""connection_name"":""hackernews""}"
