id,score,descendants,new_score,new_descendants
35406140,9,3,12,4
35406369,14,3,486,217
35406590,6,0,30,13
35406646,7,2,53,144
35406833,18,6,128,135
35409130,13,1,148,94
35409990,6,0,7,0
35410357,14,2,76,143
35410778,96,75,325,344
35410841,30,15,131,140
35410886,13,1,146,151
35411675,7,0,11,
35411909,19,1,86,86
35412226,9,6,111,70
35412296,6,0,201,79
35412836,44,61,231,571
35413515,12,5,46,60
35413572,18,1,165,150
35413590,7,0,110,64
35413594,20,23,259,112
35413770,10,4,186,79
35414262,6,0,77,46
35415017,9,1,19,10
35415403,44,3,150,38
35415914,14,21,17,27
35415947,6,0,19,7
35416552,7,2,45,90
35416556,6,1,66,9
35416627,22,24,81,164
35417463,37,13,79,92
35418999,23,7,452,331
35419771,93,9,661,115
35421899,15,5,113,43
35422044,9,1,187,203
35422127,8,0,102,184
35422323,8,5,21,61
35422570,20,3,99,32
35423290,14,18,100,117
35424459,7,0,62,21
35424609,21,16,188,249
35424678,43,11,383,308
35424805,6,20,183,512
35424806,6,8,46,146
35424807,7,14,418,589
35425524,6,0,7,0
35425537,10,7,29,69
35425689,31,14,55,99
35425704,6,1,11,2
35425863,9,0,48,70
35426156,13,4,38,31
35426190,10,1,69,14
35426482,45,24,527,269
35426586,9,1,139,90
35426679,44,18,136,98
35426781,9,1,67,32
35427343,10,2,291,53
35427706,8,0,8,0
35427769,241,243,472,592
35427997,6,7,16,16
35428089,9,0,33,17
35428255,6,1,10,1
35428365,10,8,36,27
35428847,22,7,91,95
35429097,8,1,13,3
35429198,12,0,174,91
35429216,6,1,8,1
35429777,7,0,94,58
35429930,15,9,17,12
35430301,10,1,40,18
35430432,7,2,271,139
35430993,8,0,170,366
35431119,26,0,407,75
35431466,34,18,233,205
35431632,10,1,25,3
35431758,7,0,58,47
35431877,8,0,101,112
35432115,57,36,111,107
35432218,10,1,39,26
35432339,8,12,10,18
35433918,10,1,186,245
35434066,7,2,26,32
35434587,7,1,46,57
35434679,23,2,132,110
35434704,10,0,67,61
35437449,9,3,18,12
35437556,18,8,73,29
35438068,18,2,875,494
35438524,73,7,400,481
35438569,35,29,91,192
35438804,11,0,87,2
35439002,6,1,66,56
35439326,11,6,123,88
35439673,6,0,216,115
35439749,10,0,15,1
35440194,9,0,9,
35440241,9,1,11,
35440265,18,14,19,25
35440348,57,25,363,185
35440548,17,13,29,26
35440552,57,6,369,175
35440608,9,0,264,142
35440736,22,2,43,6
35440789,10,1,30,9
35441180,16,0,180,39
35441211,43,17,136,115
35441235,7,0,16,0
35441375,10,1,43,22
35442103,33,25,194,231
35442116,31,0,140,38
35442355,7,0,12,2
35442483,7,1,235,167
35442642,8,1,165,96
35442947,34,38,51,70
35443015,6,0,12,1
35443084,26,22,41,49
35443361,13,1,135,108
35443976,30,2,553,149
35444018,30,8,77,36
35444097,7,0,14,0
35444172,15,0,24,
35444270,12,1,28,19
35445000,14,2,24,31
35445696,14,2,328,176
35445992,32,23,64,84
35446175,15,5,58,61
35446847,10,2,170,23
35447425,11,6,26,15
35447486,7,0,1025,391
35447827,8,0,63,70
35447885,10,0,43,41
35447970,9,3,9,
35448074,13,0,116,27
35448127,8,4,8,
35448187,7,0,93,32
35448360,8,0,217,112
35448514,14,1,95,40
35448598,24,5,39,14
35448899,128,52,1314,2780
35449295,6,5,14,17
35449710,20,5,70,2
35449831,39,5,615,113
35450169,16,1,33,3
35450315,31,4,273,195
35451863,29,13,309,168
35452426,91,33,344,2
35453857,14,4,178,240
35454151,6,0,7,0
35454249,6,0,45,4
35455111,6,0,27,6
35455286,18,2,255,201
35457578,26,12,61,52
35457586,6,4,10,6
35457866,9,3,78,23
35457923,6,0,8,1
35458526,24,13,76,108
35458596,8,1,131,45
35458746,53,7,630,215
35458826,10,5,69,32
35459333,14,3,549,265
35459440,7,1,8,1
